,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
206,JACK,Jack in the Box Inc.,80.63,+1.16,+1.46%,"574,108","579,404",1.829B,26.13
207,MTOR,"Meritor, Inc.",24.90,+0.11,+0.44%,"388,360","725,649",1.8B,6.80
208,SIX,Six Flags Entertainment Corporation,21.15,+0.55,+2.67%,1.516M,3.348M,1.793B,N/A
209,MNRO,"Monro, Inc.",53.45,-0.14,-0.26%,"495,937","370,628",1.779B,47.22
210,RUSHB,"Rush Enterprises, Inc.",43.26,+0.26,+0.60%,"6,256","8,961",1.776B,15.62
211,RUSHA,"Rush Enterprises, Inc.",50.44,-0.04,-0.08%,"54,992","173,312",1.776B,18.21
212,SKY,Skyline Champion Corporation,30.86,-0.23,-0.74%,"250,857","559,714",1.749B,33.54
213,GPI,"Group 1 Automotive, Inc.",95.53,+1.55,+1.65%,"159,313","292,239",1.744B,12.14
214,CTB,Cooper Tire & Rubber Company,34.50,-0.31,-0.89%,"516,600","433,273",1.736B,27.60
215,AIN,Albany International Corp.,53.30,+0.41,+0.78%,"81,622","248,857",1.722B,15.58
216,ADNT,Adient plc,18.24,+0.57,+3.23%,"643,526",1.122M,1.712B,N/A
217,ELY,Callaway Golf Company,17.94,-0.40,-2.18%,1.226M,1.858M,1.689B,N/A
218,WW,"WW International, Inc.",24.65,-0.58,-2.30%,"623,629",1.371M,1.676B,20.41
219,EAT,"Brinker International, Inc.",36.99,+0.31,+0.85%,2.457M,3.143M,1.663B,58.71
220,FUN,"Cedar Fair, L.P.",28.48,-0.05,-0.18%,"320,252","904,847",1.615B,N/A
221,BBBY,Bed Bath & Beyond Inc.,12.35,+0.01,+0.08%,3.631M,12.568M,1.557B,N/A
222,RVLV,"Revolve Group, Inc.",22.29,-1.51,-6.34%,3.902M,1.267M,1.549B,N/A
223,DLPH,Delphi Technologies PLC,17.84,+0.35,+2.00%,1.594M,2.455M,1.54B,N/A
224,PATK,"Patrick Industries, Inc.",64.58,-1.25,-1.90%,"83,709","229,625",1.514B,23.63
225,AMWD,American Woodmark Corporation,88.60,-1.06,-1.18%,"91,314","153,995",1.501B,20.05
226,MMYT,MakeMyTrip Limited,14.49,-0.31,-2.09%,"291,375","403,507",1.492B,N/A
227,SEAS,"SeaWorld Entertainment, Inc.",19.00,+0.48,+2.59%,1.811M,2.348M,1.487B,N/A
