,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
158,LPX,Louisiana-Pacific Corporation,32.01,+0.12,+0.38%,"899,122",1.446M,3.595B,217.76
159,GTES,Gates Industrial Corporation plc,12.19,-0.04,-0.33%,"186,649","270,933",3.544B,51.87
160,CR,Crane Co.,60.92,-0.09,-0.15%,"152,089","374,963",3.535B,97.16
161,BLDR,"Builders FirstSource, Inc.",30.27,-1.11,-3.54%,20.624M,1.602M,3.533B,17.11
162,CLH,"Clean Harbors, Inc.",63.41,-0.39,-0.61%,"177,788","318,761",3.528B,35.03
163,PRLB,"Proto Labs, Inc.",132.07,-0.34,-0.26%,"139,623","294,209",3.527B,60.83
164,HXL,Hexcel Corporation,42.20,+0.58,+1.39%,"524,824",1.479M,3.524B,18.42
165,AL,Air Lease Corporation,30.89,-0.14,-0.45%,"591,236",1.187M,3.515B,5.96
166,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",115.91,+5.12,+4.62%,"56,206","93,888",3.462B,11.96
167,AJRD,"Aerojet Rocketdyne Holdings, Inc.",43.49,+0.21,+0.49%,"387,497","718,442",3.419B,28.54
168,MTZ,"MasTec, Inc.",46.24,-0.47,-1.01%,"352,635","963,947",3.413B,10.75
169,SAIA,"Saia, Inc.",130.32,-0.42,-0.32%,"108,298","270,965",3.408B,31.17
170,ROLL,RBC Bearings Incorporated,135.29,-0.82,-0.60%,"47,484","131,598",3.392B,28.54
171,VVNT,"Vivint Smart Home, Inc.",18.75,-0.21,-1.11%,"927,400","693,290",3.483B,N/A
172,NAV,Navistar International Corporation,33.28,+0.08,+0.24%,"203,397","684,949",3.312B,18.05
173,NVT,nVent Electric plc,19.48,-0.17,-0.87%,1.491M,1.046M,3.31B,22.16
174,WNS,WNS (Holdings) Limited,65.84,-0.41,-0.62%,"138,561","249,763",3.225B,32.90
175,ENS,EnerSys,76.40,-0.66,-0.86%,"252,578","252,669",3.245B,26.45
176,JBT,John Bean Technologies Corporation,101.91,-0.88,-0.86%,"98,308","222,750",3.233B,23.87
177,KBR,"KBR, Inc.",22.58,-0.26,-1.14%,"999,977",1.447M,3.214B,N/A
178,WTS,"Watts Water Technologies, Inc.",94.42,+0.17,+0.18%,"93,887","150,704",3.18B,27.68
179,JBLU,JetBlue Airways Corporation,11.48,+0.14,+1.23%,5.876M,16.338M,3.127B,N/A
180,ENR,"Energizer Holdings, Inc.",45.18,+0.14,+0.31%,"509,472","724,739",3.096B,N/A
181,WERN,"Werner Enterprises, Inc.",44.56,+0.13,+0.29%,"470,911",1.342M,3.061B,20.81
182,AEIS,"Advanced Energy Industries, Inc.",80.03,-0.04,-0.05%,"189,235","274,642",3.068B,47.27
183,AAON,"AAON, Inc.",57.81,-1.34,-2.27%,"212,845","213,107",3.021B,42.82
184,KEX,Kirby Corporation,48.59,-0.38,-0.78%,"333,736","513,212",2.917B,N/A
185,ENR-PA,"Energizer Holdings, Inc.",94.15,+0.01,+0.01%,"21,790","10,931",2.879B,N/A
186,VMI,"Valmont Industries, Inc.",130.41,-1.48,-1.12%,"100,029","156,588",2.786B,19.60
187,FELE,"Franklin Electric Co., Inc.",60.29,+0.02,+0.03%,"103,468","178,265",2.785B,31.90
188,ADSW,"Advanced Disposal Services, Inc.",30.20,0.00,0.00%,"264,335",1.405M,2.741B,"10,066.67"
189,NSP,"Insperity, Inc.",69.93,-0.89,-1.26%,"188,756","386,626",2.713B,17.35
